COD.FABBRICATO	DESCRIZIONE IMMOBILE	COD.UNITA’ IMMOBILIARE	PIANO	NUM.STANZA	CENTRO DI COSTO 	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C32	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C48	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C21	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C22	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C25	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C35	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C44	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C45	112020101	
59   	CFCS                                              	59EB0	PIANO TERRA	EB0C22	112020101	
59   	CFCS                                              	59EB1	PRIMO PIANO	EB1C37	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C27	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C31	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C36	112020101	
59   	CFCS                                              	59EB3	TERZO PIANO	EB3C22	112020101	
59   	CFCS                                              	59EB3	TERZO PIANO	EB3C25	112020101	
59   	CFCS                                              	59EB3	TERZO PIANO	EB3C28	112020101	
59   	CFCS                                              	59EB3	TERZO PIANO	EB3C39	112020101	
59   	CFCS                                              	59EC2	PIANO TERRA	EC2C51	112020101	
59   	CFCS                                              	59EC2	PIANO TERRA	EC2C53	112020101	
59   	CFCS                                              	59EC3	PRIMO PIANO	EC3C57	112020101	
59   	CFCS                                              	59EC4	SECONDO PIANO	EC4C58	112020101	
59   	CFCS                                              	59EC4	SECONDO PIANO	EC4C66	112020101	
59   	CFCS                                              	59FA0	PIANO TERRA	FA0C03	112020101	
59   	CFCS                                              	59FA0	PIANO TERRA	FA0C07	112020101	
59   	CFCS                                              	59FA0	PIANO TERRA	FA0C16	112020101	
59   	CFCS                                              	59FA1	PRIMO PIANO	FA1C09	112020101	
59   	CFCS                                              	59FA1	PRIMO PIANO	FA1C19	112020101	
